,Model Name,Accuracy,Precision Score,Recall Score,F1Score,Sensitivity,Specificity
0,Random Forest Tree,0.9489795918367347,0.9782608695652174,0.9489795918367347,0.9473684210526316,0.9795918367346939,0.9183673469387755
1,SVM,0.8418367346938775,0.935064935064935,0.8418367346938775,0.822857142857143,0.9489795918367347,0.7346938775510204
2,DT,0.9081632653061225,0.9761904761904762,0.9081632653061225,0.9010989010989012,0.9795918367346939,0.8367346938775511
3,DT SMOTE,0.9612144766460327,0.9877987538361388,0.9612144766460327,0.9601279953719187,0.9884637028700056,0.9339652504220597
4,DT SMOTE+Tomek,0.960632067673801,0.9877649074453425,0.9606320676738009,0.959505784241898,0.9884455074655739,0.9328186278820281
5,KNN,0.8928571428571429,0.963855421686747,0.8928571428571428,0.8839779005524863,0.9693877551020408,0.8163265306122449
6,KNN SMOTE,0.9420107625211029,0.9968568999940696,0.9420107625211029,0.9386231863826303,0.99720385481148,0.886817670230726
7,KNN SMOTE+TOMEK,0.9412075060234607,0.9967920156834789,0.9412075060234607,0.9377235469448584,0.9971509470463059,0.8852640650006155
8,LR,0.9438775510204082,0.9578947368421052,0.9438775510204082,0.9430051813471502,0.9591836734693877,0.9285714285714286
9,LR SMOTE,0.9587436691052336,0.9738945609126912,0.9587436691052336,0.9580734518809759,0.9747291783905458,0.9427581598199212
10,LR SMOTE+TOMEk,0.9609662158597281,0.9777623856221064,0.9609662158597281,0.9602678051967812,0.9785441691141555,0.9433882626053006
11,Neural Networks,0.9081632653061225,0.9166666666666666,0.9081632653061225,0.9072164948453607,0.9183673469387755,0.8979591836734694
12,NN SMOTE,0.9460027433877322,0.9989572881622696,0.946002743387732,0.9429767951491741,0.9990679516038267,0.8929375351716375
13,NN TE+TOMEk,0.9335220977471378,0.9991091133653243,0.9335220977471378,0.9288470588235294,0.9992261831483794,0.8678180123458962
14,AdaBoostModel,0.9336734693877551,0.9292929292929293,0.9336734693877551,0.934010152284264,0.9285714285714286,0.9387755102040817
15,AdaBoostModel SMOTE,0.9684246623522791,0.9800666846895557,0.9684246623522792,0.9680370986835665,0.9805500844119303,0.956299240292628
16,AdaBoostModel SMOTE +Tomek,0.9701816710926646,0.981018351925153,0.9701816710926646,0.9698419615620636,0.981445982307733,0.9589173598775963
17,Gradient Boosting,0.923469387755102,0.9108910891089109,0.9234693877551021,0.9246231155778896,0.9081632653061225,0.9387755102040817
18,GB SMote,0.9746060776589758,0.9841417910447762,0.9746060776589758,0.97435350951975,0.9844541361845808,0.9647580191333709
19,GB SMote+Tomek,0.9734615993387383,0.9849235369346326,0.9734615993387383,0.9731442097207639,0.9852798930725805,0.9616433056048962
20,XGB,0.9489795918367347,0.9583333333333334,0.9489795918367347,0.9484536082474228,0.9591836734693877,0.9387755102040817
21,XGB SMote,0.9627532357906584,0.9996771865861532,0.9627532357906584,0.9613242517758341,0.9997010410804728,0.9258054305008441
22,XGB SMote+Tomek,0.9654772163697437,0.9996224634261444,0.9654772163697438,0.9642557995557012,0.9996482650674452,0.9313061676720423
23,Naive Bayes,0.9132653061224489,0.9655172413793104,0.9132653061224489,0.908108108108108,0.9693877551020408,0.8571428571428571
24,GNB SMote,0.9217255205402364,0.9724761604539365,0.9217255205402364,0.9172830328935142,0.9754326111423748,0.868018429938098
25,GNB SMote+Tomek,0.9207541196953976,0.972396090433409,0.9207541196953976,0.9161721206258254,0.9754137282144176,0.8660945111763775
